S.No,Type (QP-NOS /NOS/Expository),Sector,Name of the QP,QPRef.ID,NSQF Level,Contains Electives/Options,Number of Electives/ Options,Elective/Option Name,Compulsary NOS Count,Elective/Optional NOS count,Total No. of NOS,Version No.,Educational Qualification,Theory (hours) for Compulsory NOSs,Practical (hours) for Compulsory NOSs,Total Hours for Compulsory NOSs,Elective/Option Theory (hours),Elective/Option Practical (hours),GRAND TOTAL Minimum hours duration for QP,Mandatory OJT ,Recommended OJT ,Curriculum Available ,PH Available,FG Available,Job Roles in PMKVY 2.0,Job Roles in PMKVY 2.0 (9th SC Remarks),Job Roles in PMKVY 2.0 (2018-20),Job Roles Readiness for CSSM,Job Roles in PMKVY CSSM (FY 2018-20),89 Curriculum/Content,CSSM MES,Available on SMART Portal,QRC Approval Date,MC Approval/Upload Date,NSQC Approval Status,DLI Status,QP Uploaded on NSDC Website,NAPS Paired & Embedded QPs,QP Retirement Planned (Yes/Tentative),Retirement Announcement Date,Retirement Not Before Date,Remarks,
23,QP-NOS,Aerospace & Aviation,Airline Pushback Operator,AAS/Q0702,4,,,,7,,7,1,10th Class,136,152,288,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
24,QP-NOS,Aerospace & Aviation,Airline Ground Support Equipment Operator,AAS/Q0703,4,,,,5,,5,1,10th Class,112,128,240,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
25,QP-NOS,Aerospace & Aviation,Airline Forklift Operator,AAS/Q0704,4,,,,4,,4,1,10th Class,86,154,240,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
26,QP-NOS,Aerospace & Aviation,Airline Technical Publication Executive,AAS/Q0801,4,,,,3,,3,1,AME/B.E ( mechanical / Aeronautical engineering ) and allied branches,102,138,240,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
27,QP-NOS,Aerospace & Aviation,Airlines Ground Support Equipment Mechanic,AAS/Q0802,4,,,,9,,9,1,Diploma ( Mechanical /Automobile / Electrical engineering ) and allied branches,68,124,192,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
28,QP-NOS,Aerospace & Aviation,Airport Crash Fire Tenders and Rescue Crew,AAS/Q4101,4,,,,3,,3,1,Graduate,116,124,240,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
29,QP-NOS,Aerospace & Aviation,Airport Fire Prevention Crew,AAS/Q4102,4,,,,3,,3,1,Graduate,112,128,240,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
30,QP-NOS,Aerospace & Aviation,Runway Operator,AAS/Q4103,5,Option,1,"O1:Airside 
Vehicle Operator",3,1,4,1,Class XII,143,193,336,19,29,336,,,Yes,,,,,,,,,,Yes,28-Jun-17,,"Submitted (DGCA concurrence not received, therefore not tabled in 23rd NSQC)",,Occupational Standards,,,,,,
31,QP-NOS,Aerospace & Aviation,Airport Wildlife Management Crew,AAS/Q4104,4,,,,2,,2,1,Class X,102,138,240,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
32,QP-NOS,Aerospace & Aviation,Airport Safety Crew,AAS/Q4201,5,,,,3,,3,1,Graduate,178,206,384,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
33,QP-NOS,Aerospace & Aviation,Airfield Ground Lighting  (AGL) Technician,AAS/Q4401,4,,,,2,,2,1,Diploma ( Electrical Engineering) and allied branches,102,138,240,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
34,QP-NOS,Aerospace & Aviation,Airport Terminal Electrician,AAS/Q4402,3,,,,4,,4,1,ITI Electrician and allied branches,,,,,,,,,,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
35,QP-NOS,Aerospace & Aviation,Airport X Ray Qualified Staff,AAS/Q4501,4,,,,3,,3,1,Class XII,108,132,240,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,"Submitted (DGCA concurrence not received, therefore not tabled in 23rd NSQC)",,Occupational Standards,,,,,,
36,QP-NOS,Aerospace & Aviation,Airport Unit Load Device (ULD) Staff,AAS/Q4301,3,Option,1,"O1:Airside 
Vehicle Operator",3,1,4,1,Class X,83,109,192,20,28,192,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
37,QP-NOS,Aerospace & Aviation,Airport Cargo Operations Assistant,AAS/Q4302,3,Option,1,"O1:Airside 
Vehicle Operator",3,1,4,1,Class X,83,109,192,20,28,192,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
38,QP-NOS,Aerospace & Aviation,Airport Warehouse Coordinator,AAS/Q4303,4,,,,3,,3,1,Class X,99,141,240,,,,,,Yes,,,,,,,,,,Yes,28-Jun-17,,21st Meeting,,National Occupational Standards,,,,,,
39,QP-NOS,Aerospace & Aviation,Aerospace Design Assistant - Mechanical,AAS/Q3106,4,,,,6,,6,1,Diploma in Mechanical engineering,149,203,352,179,269,576,,,Yes,,,,,,,,,,,,,22nd Meeting,,National Occupational Standards,,,,,SSC has split this QP into 2: Aerospace Design Assistant - Mechanical (AAS/Q3106) and Aerospace Design Assistant - Electrical (AAS/Q3110) as per 22nd NSQC.,
40,QP-NOS,Aerospace & Aviation,Aerospace Design Assistant  - Electrical,AAS/Q3110,4,,,,5,,5,1,Diploma in electrical engineering,,,,,,,,,,,,,,,,,,,,,,22nd Meeting,,National Occupational Standards,,,,,SSC has split this QP into 2: Aerospace Design Assistant - Mechanical (AAS/Q3106) and Aerospace Design Assistant - Electrical (AAS/Q3110) as per 22nd NSQC.,
41,QP-NOS,Aerospace & Aviation,Aerospace Design Quality Assurance Engineer,AAS/Q3308,6,,,,4,0,4,1,"Degree in Mechanical/Aeronautics and allied engineering 
  branches",247,329,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
42,QP-NOS,Aerospace & Aviation,Aerospace Design Testing Engineer – Mechanical Systems,AAS/Q3209,6,,,,5,0,5,1,"Degree in Mechanical and 
allied engineering branches",252,324,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
43,QP-NOS,Aerospace & Aviation,Aerospace Software Testing Engineer,AAS/Q3207,6,,,,4,0,4,1,"Degree in Mechanical / Aeronautics and allied engineering 
  branches",247,329,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
44,QP-NOS,Aerospace & Aviation,Design Engineer Aerodynamics,AAS/Q3101,6,,,,4,0,4,1,"Degree in Mechanical/Aeronautical and allied engineering 
  branches",238,338,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
45,QP-NOS,Aerospace & Aviation,Design Engineer Aerospace Propulsion Systems,AAS/Q3105,6,,,,4,0,4,1,"Degree in Mechanical/Aeronautical and allied engineering 
  branches",265,311,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
46,QP-NOS,Aerospace & Aviation,Aerospace Structural Engineer - Analyst,AAS/Q3111,6,,,,4,,4,1,Bachelors Degree in Mechanical/ Aeronautical engineering ,,,,,,,,,,,,,,,,,,,,,,22nd Meeting,,National Occupational Standards,,,,,SSC was asked to make all the electives as compulsory NOS as per 22nd NSQC. Former QP code: AAS/Q3103.,
47,QP-NOS,Aerospace & Aviation,Design Engineer Avionics/Electrical Systems,AAS/Q3102,6,,,,5,0,6,1,"Degree in Electrical / Electronic / Avionics and allied 
  engineering branches and equivalent qualification",222,354,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
48,QP-NOS,Aerospace & Aviation,Design Engineer Aerospace Systems Integrator,AAS/Q3104,7,,,,4,0,4,1,"Degree in  Mechanical / Aeronautical and allied engineering    
 branches",265,311,576,,,,,,Yes,,,,,,,,,,,10-Nov-17,,22nd Meeting,,National Occupational Standards,,,,,,
49,QP-NOS,Aerospace & Aviation,Aerospace CNC Machinist,AAS/Q1001,4,,,,6,,6,1,I.T.I/Diploma in Mechanical trade,,,,,,,,,,,,,,,,,,,,16-Feb-18,,22nd Meeting,,National Occupational Standards,,,,,,
50,QP-NOS,Aerospace & Aviation,Aerospace Welder,AAS/Q1101,3,,,,7,,7,1,Diploma / ITI – Mechanical/ Welding Technology,,,,,,,,,,,,,,,,,,,,16-Feb-18,,22nd Meeting,,National Occupational Standards,,,,,,
51,QP-NOS,Aerospace & Aviation,Aerospace Precision Mechanical Assembly Fitter,AAS/Q1608,3,,,,4,,4,1,I.T.I in Mechanical trade,237,339,576,,,,,,Yes,,,,,,,,,,,16-Feb-18,,22nd Meeting,,National Occupational Standards,,,,,,
52,QP-NOS,Aerospace & Aviation,Aerospace Structural Fitter,AAS/Q1602,3,,,,,,4,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
53,QP-NOS,Aerospace & Aviation,Aerospace Composite Technician,AAS/Q1301,4,,,,,,6,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
54,QP-NOS,Aerospace & Aviation,Aerospace Electrician,AAS/Q1607,3,,,,,,4,1,I.T.I in Electrical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting (Conditional Approval),,National Occupational Standards,,,,,,
55,QP-NOS,Aerospace & Aviation,Aerospace CNC Programmer,AAS/Q1002,4,,,,,,6,1,Diploma in Mechanical engg,233,343,576,,,,,,Yes,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
56,QP-NOS,Aerospace & Aviation,Aerospace Conventional Machinist,AAS/Q1003,3,,,,,,6,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
57,QP-NOS,Aerospace & Aviation,Aerospace Sheet Metal Technician,AAS/Q1401,3,,,,,,4,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
58,QP-NOS,Aerospace & Aviation, Aerospace Avionics Technician,AAS/Q1603,4,,,,,,4,1,I.T.I in Electrical trade,232,344,576,,,,,,Yes,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
59,QP-NOS,Aerospace & Aviation,Aerospace Fuel and Hydraulic Technician,AAS/Q1606,4,,,,,,4,1,I.T.I in Fitter trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting (Conditional Approval),,National Occupational Standards,,,,,,
60,QP-NOS,Aerospace & Aviation, Aerospace Jigs and Fixture Technician,AAS/Q1701,4,,,,,,4,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
61,QP-NOS,Aerospace & Aviation, Aerospace Lab Technician - NDT,AAS/Q1802,4,,,,,,5,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
62,QP-NOS,Aerospace & Aviation,Aerospace Finishing Process Technician,AAS/Q1901,3,,,,,,6,1,I.T.I in Mechanic Auto-body painting/ Industrial Painter,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting,,National Occupational Standards,,,,,,
63,QP-NOS,Aerospace & Aviation,Aerospace Lab Technician Destructive Testing,AAS/Q1801,4,,,,,,4,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,National Occupational Standards,Occupational Standards,,,,,,
64,QP-NOS,Aerospace & Aviation,Aerospace Tool & Die Technician,AAS/Q1702,4,,,,,,4,1,I.T.I in Tool and Die Maker (Dies and Moulds) trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting,,National Occupational Standards,,,,,,
65,QP-NOS,Aerospace & Aviation,Aerospace Flight Control Technician,AAS/Q1605,4,,,,,,4,1,I.T.I in Technican Mechatronics/I.T.I in Fitter trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting (Conditional Approval),,National Occupational Standards,,,,,,
66,QP-NOS,Aerospace & Aviation,"Aerospace ECS 
(Environmental Control System) Technician",AAS/Q1604,4,,,,,,6,1,I.T.I in Mechanic Refrigeration and Air Conditioner ,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting (Conditional Approval),,National Occupational Standards,,,,,,
67,QP-NOS,Aerospace & Aviation,Aerospace Armament Technician,AAS/Q1601,4,,,,,,4,1,I.T.I in Mechanical trade,,,,,,,,,,,,,,,,,,,,15-May-18,,22nd Meeting,,National Occupational Standards,,,,,,
68,QP-NOS,Aerospace & Aviation,Aerospace Pipe Bending and Fitting Technician,AAS/Q1501,3,,,,,,7,1,I.T.I in Fitter trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting,,National Occupational Standards,,,,,,
69,QP-NOS,Aerospace & Aviation,Aerospace Plastics Forming Technician,AAS/Q1302,3,,,,,,4,1,I.T.I in Plastics Processing Operator trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting,,National Occupational Standards,,,,,,
70,QP-NOS,Aerospace & Aviation,Aerospace Forging Technician,AAS/Q1202,3,,,,,,4,1,I.T.I in Foundryman trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting,,National Occupational Standards,,,,,,
71,QP-NOS,Aerospace & Aviation,Aerospace Foundry Technician,AAS/Q1201,3,,,,,,6,1,I.T.I in Foundryman trade,,,,,,,,,,,,,,,,,,,,15-May-18,,23rd Meeting,,National Occupational Standards,,,,,,
72,QP-NOS,Agriculture,Agriculture Extension Executive,AGR/Q7602,6,,,,7,,7,1,Graduate Passed (preferably in agriculture related stream),,,,,,,,,,Yes,,,,,,,,,Yes,,,6th Meeting,,National Occupational Standards,,,,,,
73,QP-NOS,Agriculture,Agriculture Extension Service Provider,AGR/Q7601,4,,,,5,,5,1,12th Class Pass preferable,60,140,200,,,,,,Yes,Yes,Yes,,,,,,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
74,QP-NOS,Agriculture,Agriculture Field Officer,AGR/Q7701,4,,,,4,,4,1,Diploma,65,175,240,,,,,,Yes,,,,,,,,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
75,QP-NOS,Agriculture,Agriculture Machinery Operator ,AGR/Q1103,4,,,,7,,7,1,"8th Class, Preferably",,,,,,,,,,,,,,,,,,AGR104,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
76,QP-NOS,Agriculture,Agriculture Machinery Demonstrator,AGR/Q1107,5,,,,5,,5,1,"10th Class ,Preferably",50,150,200,,,,,,Yes,,,,,,,,,,No,,,17th Meeting,,National Occupational Standards,,,,,,
77,QP-NOS,Agriculture,Agriculture Machinery Repair and Maintenance Service Provider,AGR/Q1111,5,,,,5,,5,1,"12th Class, Preferably",,,,,,,,,,,,,,,,,,,No,,,17th Meeting,,National Occupational Standards,,,,,,
78,QP-NOS,Agriculture,Custom Hiring Service Provider,AGR/Q1112,5,,,,5,,5,1,"12th Class, Preferably",,,,,,,,,,,,,,,,,,,Yes,,,17th Meeting,,National Occupational Standards,,,,,,
79,QP-NOS,Agriculture,Animal Health Worker ,AGR/Q4804,3,,,,8,,8,1,8th Class Passed Preferable,120,180,300,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,7th Meeting,WB2017-18 ,Trans National Standard - Under Public View,,,,,,
80,QP-NOS,Agriculture,Aquaculture Technician,AGR/Q4903,5,,,,3,,3,1,8th Class Preferable,70,130,200,,,,,,Yes,,,,,,,,,,Yes,,,21st Meeting,,National Occupational Standards,,,,,,
81,QP-NOS,Agriculture,Aquaculture Worker,AGR/Q4904,3,,,,3,,3,1,"5th Class ,Preferably",80,120,200,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,,"19th Meeting, 22nd Meeting",WB2017-18 ,National Occupational Standards,,,,,,
82,QP-NOS,Agriculture,Aquarium Technician,AGR/Q5108,4,,,,3,,3,1,8th Class Preferable,,,,,,,,,,,,,,,,,,,No,,,21st Meeting,,National Occupational Standards,,,,,,
83,QP-NOS,Agriculture,Aquatic Animal Health Lab Assistant,AGR/Q4911,4,,,,3,,3,1,10th Class,50,150,200,,,,,,Yes,,,,,,,,,,No,,,21st Meeting,,National Occupational Standards,,,,,,
84,QP-NOS,Agriculture,Artificial Insemination Technician ,AGR/Q4803,3,,,,3,,3,1,8th Class Passed Preferable,150,250,400,,,,,,Yes,Yes,,,,,,Yes,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
85,QP-NOS,Agriculture,Bamboo Grower,AGR/Q6101,4,,,,11,,11,1,"5th Class Pass ,Preferably",80,120,200,,,,,,Yes,Yes,,,,,Cat 1 (Phase 1),Yes,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
86,QP-NOS,Agriculture,Banana farmer,AGR/Q0301,4,,,,7,,7,1,"5th Class Pass ,Preferably",75,125,200,,,,,,Yes,,,,,,Cat 1 (Phase 1),,,,Yes,,,6th Meeting,,National Occupational Standards,,,,,,
87,QP-NOS,Agriculture,Barefoot Technician,AGR/Q7801,4,,,,6,,6,1,10th Class,280,250,530,,,,,,Yes,,,,,,Cat 1 (Phase 1),,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
88,QP-NOS,Agriculture,Beekeeper,AGR/Q5301,4,,,,5,,5,1,No formal education,60,140,200,,,,,,Yes,Yes,,,*May be added from 1-Apr-2018; 9th SC,Yes,Cat 1 (Phase 1),Yes,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
89,QP-NOS,Agriculture,Brackishwater Aquaculture Farmer,AGR/Q4906,4,,,,5,,5,1,8th Class Preferable,60,150,210,,,,,,Yes,,,,,,,,,,No,,,21st Meeting,,National Occupational Standards,,,,,,
90,QP-NOS,Agriculture,Broiler Poultry Farm Supervisor,AGR/Q4301,5,,,,5,,5,1,12th Class Pass preferable,65,135,200,,,,,,Yes,,,,,,,,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
91,QP-NOS,Agriculture,Broiler Poultry Farm Worker,AGR/Q4302,3,,,,6,,6,1,"5th Class Pass ,Preferably",95,115,210,,,,,,Yes,Yes,,,*May be added from 1-Apr-2018; 9th SC,Yes,,Yes,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
92,QP-NOS,Agriculture,Bulb Crop Cultivator,AGR/Q0401,4,,,,10,,10,1,"5th Class Pass ,Preferably",70,130,200,,,,,,Yes,,,,*May be added from 1-Apr-2018; 9th SC,,,,Yes,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
93,QP-NOS,Agriculture,Bulk Milk Cooler (BMC) Operator,AGR/Q4204,4,,,,5,,5,1,"10th Class / Diploma /ITI with certification in Refrigeration/HVAC, Preferably",80,120,200,,,,,,Yes,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,,
94,QP-NOS,Agriculture,CA Store Technician,AGR/Q7508,5,,,,4,,4,1,Diploma/Degree in Electrical/Instrumentation/Mechanical/E&C/E&E/E&I,80,130,210,,,,,,Yes,,,,,,,,,,No,,,23rd Meeting,,National Occupational Standards,,,,,,
95,QP-NOS,Agriculture,Chick Sexing and Grading Technician,AGR/Q4403,4,,,,5,,5,1,"12th Class, Preferably",70,130,200,,,,,,Yes,,,,,,,,,,Yes,,,"19th Meeting, 22nd Meeting",,National Occupational Standards,,,,,,
96,QP-NOS,Agriculture,Chilling Plant Technician,AGR/Q4205,4,,,,4,,4,1,10th Class / Diploma/ITI certification preferably in Refirgeration/HVAC,80,120,200,,,,,,Yes,,,,,,,,,,No,,,22nd Meeting,,National Occupational Standards,,,,,"Alternative QP - Spice Crop Cultivator, AGR/Q0603. To be retired as per SSC's request. ",
97,QP-NOS,Agriculture,Citrus Fruit Grower,AGR/Q0303,4,,,,10,,10,1,"5th Class ,Preferably",70,130,200,,,,,,Yes,,,,,,,,,,Yes,,,7th Meeting,,National Occupational Standards,,,,,,
98,QP-NOS,Agriculture,Climate Change & Risk Mitigation Manager ,AGR/Q6501,7,,,,3,,3,1,Graduate qualification in Environmental Science/Climate Change/Natural Resource Management/Agriculture ,,,,,,,,,,,,,,,,,,,No,,,7th Meeting,,National Occupational Standards,,,,,,
99,QP-NOS,Agriculture,Coconut Grower,AGR/Q0503,4,,,,9,,9,1,"5th Class ,Preferably",70,130,200,,,,,,Yes,,,,,,,,,,Yes,,14-Jan-20,7th Meeting,,National Occupational Standards,,,,,,
