,Educational Qualification
8th Class + 2 yrs/10th,2
Xth Pass,2
Class VIIIth Pass,2
10th Class /be able to swim,2
Preferably primary education passed,2
8th Class Passed Preferable,2
Minimum Age - 14 Years ; Preferable Qualification shall be Minimum: Graduate,2
Class VII,2
Basic literacy Skill,2
Minimum Age    14 Years ; Preferable Qualification shall be 5th Pass with 1  2 years work experience as maintenance assistant in a textile mill.,2
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass.,2
12th pass with good aptitude,2
BA/B. Com/BCA/BE,2
"8th standards,  preferably ",2
"5th Class passed, Preferably",2
10th Pass,2
Graduate ,2
Masters in relevant discipline/ M. Pharma,2
Bachelor's Degree in any discipline,2
"10th standard passed,  preferably ",2
"Degree in Mechanical/Aeronautical and allied engineering 
  branches",2
Undergraduate degree or diploma in any discipline,2
ITI in Automobile or 10th Class ,2
B. Pharma /Graduate in any field / LLB,1
"Degree in Mechanical / Aeronautics and allied engineering 
  branches",1
ITI /Diploma in Technical Degree,1
"ITI in Draughts   manship, ITI Civil, 2 years’ experience  for ITIs and 6 months for diploma holders",1
Preferable primary school passed,1
Class 12th,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10th Pass / ITI Certificate with 2-3 years experience in a textile processing.,1
5th Class Pass,1
"8th standard, preferably",1
Graduate degree/ diploma in commerce or any other relevant stream.,1
B.Sc /Diploma Pass B.Tech/B.E Pass and 18 years of age,1
"ITI in Mechanical/Electrical/Electronics Engineering ( Product
content based)
",1
Diploma/Degree in Electrical/Instrumentation/Mechanical/E&C/E&E/E&I,1
Preferably Qualification shall be B.Sc chemistry with training in Computer operations,1
Bachelor's Degree in Electronics/ Computer Science Engg. or any other graduate course,1
Class 12th science,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10th Pass with 1-2 years experience in a Textile Mill.,1
ITI/Diploma Civil,1
B.E. / B.Tech (Mechanical /Chemical/ Civil),1
B. Pharma (Preferable)/ B. Tech in Biotechnology (Preferable for Bio Pharmaceutical)/ B. Sc. in Microbiology (Preferable for Bio Pharmaceutical)/ B.Sc. in chemistry,1
"12th pass,  preferably ",1
"Graduate in Science/Engineering/Technology    Electronics, Computer Science, and IT",1
Bachelors degree in Architecture,1
Variant I will be applicable to roles that have eligibility standard of up to 5th Standard ,1
Preferable Graduate,1
10th/12th Class/Graduate,1
ITI/Diploma or Qualified on Handset Repair Eng QP with 1 yr exp.,1
"B.Sc.- Environment science, Diplmo/degree in Mining or Civil or Environmental Engineering. ",1
"ITI, Diploma",1
"12th Class, preferably with Science",1
Diploma inIndustrial Safety/health and safety environment,1
10th class pass,1
"6th Class, Preferably",1
"10th Pass, Preferably",1
"10th Class ,Preferably, ITI-18 Years",1
Bachelor's Degree in Management/ Business/ Science/ Technology/ Computers  ,1
ITI/Diploma - Preferred  ,1
"5th Class,Pass (Primary Education)",1
"12th Class /Equivalent, preferably",1
Class X or (ITI Passed after class 8th),1
Graduate degree in Computer Science or relevant discipline,1
Class 10/ No separate entry requirement for veterans from Armed Forces who have exposure of working in similar trade or job roles,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass and trained in weaving department. ,1
"10th Class , 0-10 years of experience ",1
Diploma in Engineering (Electrical),1
"B.Sc (with Physics as a subject) Pass /
 Dip.in Engineering (Mechanical/Electrical) Pass",1
10th pass preferrably,1
Diploma in Electronics/Electricals / ITI,1
Minimum 8th pass,1
Minimum Age    14 Years ;  Preferable Qualification shall be 5th Pass with 1  2 years’ experience in a textile mill. ,1
8th class pass,1
Diploma in Production/Foundry Engineering,1
"Diploma in Engineering(with 1 year experience) or Bachelor's
Degree in Science/Technology/Computers ",1
Class XII / ITI (two years after class 10th),1
ITI Electrician and allied branches,1
"Graduate preferably in electrical, electronics, environment or chemical discipline",1
"10th Class ,Trained as per PSARA requirements in QP & NOS aligned syllabus",1
12th Class in Science Or Level 4 Medical lab technician with experience of minimum three years,1
Diploma in electrical engineering,1
"Class XII
",1
Graduate degree in Agriculture with specialization in Poultry,1
12th Class (Science/Commerce),1
"ITI / Diploma (Electrical, Mechanical, Civil)",1
Diploma in Computer Science,1
"B. Pharma / M. Sc with majors in Biology, Biochemistry, Pharmaceutical Science",1
Class XII or Music Producer (NSQF Level 6) certified,1
Minimum Age - 14 Years ; Preferable Qualification shall be 12th pass with training in Diamond polishing,1
Variant II will be applicable to roles that have eligibility standard of beyond 5th Standard,1
"6th standard, preferably",1
ITI in electrician trade,1
"12th , Preferably ITI-Instrumentation/Electrical/Electronics",1
"10th Class ,Preferably- 18 years",1
Diploma in Mechanical/Electrical/Electronics Engineering,1
"12th Pass (Preferably in Science) 
OR
NSQF Certification (Frontline Health Worker) with 3 years of experience in field  
OR
Certificate (Auxiliary Nurse Midwifery or Multi-Purpose Health Worker) with 2  years of experience in field  ",1
"Diploma /B. Tech/ BE in Industrial / Production / Mechanical
Engineer/ Diploma in Tool Design
",1
Class VIII ,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10th pass with training in computer operations,1
"10th Class ,12 months as Roof Bolter (Helper)",1
"Diploma,  preferably ",1
12th Class ( Chemistry stream),1
I.T.I in Mechanic Refrigeration and Air Conditioner ,1
"B.E. / B.Tech. / BBA / B.Com. / B.Sc. / C.A. 
",1
10th Pass or ITI (2 Years) after 8th Pass in the relevant sector / trade / stream,1
B.Tech/ B.E / Graduate in Business Administration,1
"10th Class ,Preferably or ability to read/write and communicate effectively on the job role",1
5th class pass preferably,1
Diploma/ D.Pharma/ B.Sc/ Graduation in any field,1
5th Standard Pass,1
Preferable ITI,1
12th Class (Science) ,1
"Diploma/degree or Equivalent in Business Administration, Industrial Management or any Graduate Degree ",1
ITI (Electrical/Electronics) ,1
Graduation or Search Engine Optimization/Marketing Executive (NSQF Level 5) Certified,1
Bachelor's Degree in any discipline ,1
Class X ,1
Basic counting skills and numeracy.,1
"8 th Standard pass, preferably",1
"Graduate, preferably in Agriculture/Business Management",1
"12th, preferably",1
12th Class preferably but 10th Class in certain cases,1
Graduate degree/ diploma in any discipline.,1
Minimum Age    14 Years ; Preferable Qualification shall be 5th Pass.,1
"ITI or diploma in mechanical /automobile/ electrical engineering
",1
BBA/ B.Tech/ B.Sc in a related discipline/ B.Com,1
Diploma/Certification in Footwear Technology and Design,1
Diploma in Mechanical/ Automobile Engineering,1
Diploma / Electrical / Electronics Engineering,1
Class X / ITI (two years after class 8th),1
"Graduate, preferably in Agriculture/Science",1
Undergraduate degree or diploma in business administration or  ASDC Sales Manager Level 8 certificate,1
Preferably 5th Standard ,1
Bachelors Degree in Mechanical/ Aeronautical engineering ,1
Preferable Qualification shall be 10th Pass with 1  2 years experience in a Textile Mill.,1
Preferably Class XII,1
"12th Class ,Preferably and compulsorily having Low Voltage license from any Govt. recognized licensing authority",1
"Class 8th Pass , Class 10th Pass  and 18 years of age",1
"12th Class,Preferably",1
Bachelors degree in Microbiology,1
10th/ Standard/ITI,1
Minimally Qualified,1
X,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with training in weaving department. ,1
"Post Graduate in Food Technology,  preferably ",1
Minimum Age - 14 Years ; Preferable Qualification shall be Minimum: Graduate Preferable: Diploma - Business Management,1
"8th Class ,Preferably/ Certification in refrigeration system",1
Graduate in the relevant field,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with training in weaving preparatory department. ,1
"12th Class/Diploma/ITI/Graduate, Preferably",1
Diploma in Mechanical/ Civil/ Industrial/ Instrumentation/ Electrical / Mechatronics/ Electronics Engineering,1
Graduate degree/ diploma in business administration,1
B. Pharma / Graduation in Biotechnology / B. Sc with Chemistry/ Biology/ Biochemistry as major subject (Preferable),1
Graduation in Science(with Chemistry)/ Diploma in Milling,1
Class 10th Pass Class 12th Pass and 18 years of age,1
ITI – Mechanical/ BSc with a valid driving license for commercial/ light motor vehicle,1
Diploma in Computer Science (IT/ Electronics) / ITI,1
Minimum Age    14 Years ; Preferable Qualification shall be 5th Pass with 1  2 years of work experience in a textile mill,1
B. Tech in Mechanical/Electrical/Electronics Engineering,1
10th Class/Graduate,1
Minimum Age - 14 Years ; Preferable Qualification shall be 12th pass with training in Diamond Planning,1
Class XII (Science),1
"Graduate in any stream Or HSSC NSQF Certified level 6 Assistant Duty Manager or Service Professionals, Defence/Armed Forces Professionals
",1
B. Tech/Diploma in Mechanical Engineering,1
"8th Class pass, Preferably",1
8th ,1
"Applicable for roles with eligibility criteria 6th-8th for Customer Facing Roles, and for Non-Customer facing roles (9th-12th Standard). ",1
12th pass preferably,1
"5th Class, basic knowledge (read & write) of local language, English, Hindi",1
"B.Sc in Chemistry, biology or Life Science discipline/ B. Pharma",1
Minimum Age    14 Years ; Preferable Qualification shall be 5th Pass with 1  2 years’ experience in a textile mill. ,1
"12th Class/Diploma/ITI/Graduate in Science, Desirable ",1
Diploma ( Mechanical /Automobile / Electrical engineering ) and allied branches,1
"8th Class (To be revised to 11th post 31st December, 2017)",1
"10th Class  and Possesses Gas Testing Certificate from DGMS, 1  10 years of experience",1
5th Standard pass,1
ITI (Mechanical) pass Diploma (Mechanical / Electrical) Pass and 18 years of age,1
Minimum Age - 14 Years ; Preferable Qualification shall be 5th Pass with 1-2 years’ experience in a Textile Mill.,1
12th Class and/or ITI Diploma in Electrical/Mechanical,1
"Graduate in Hotel Management,  preferably ",1
ITI/Diploma/BTech,1
12th Class or equivalent.,1
"Masters degree in science, preferably",1
I.T.I in Plastics Processing Operator trade,1
"12th Class, Preferably with specialization in biology",1
12th standard with 50% with basic computer abilities,1
Graduate in Petrochemical Engineering/Chemical Engineering/Chemistry with relevant experience or Diploma in Petrochemical/Chemical Engineering or Class 12 (PCM) with relevant experience,1
"Graduate in any stream
Or
NSQF Level 4 Hospital Front Desk Coordinator
",1
Graduate degree/ Diploma in any discipline,1
ITI (Electrical/Mechanical)/ 10+2 with Science background,1
5th class,1
Diploma in Agriculture - Preferred,1
"10th Class ,1-10 years of experience",1
"12th Class/10th Class +ITI/Diploma, 8th pass + 4 years’ experience as Wastewater Treatment Plant Helper",1
ITI Diploma(civil) ,1
Diploma/ D.Pharma/B.Sc/ Graduation in any field,1
"7th Class,Trained as per PSARA requirements in QP & NOS aligned syllabus",1
"Graduate, with legal/social/technical specialization, preferably",1
 8th standard,1
12th Class in preferably in Science or Home Science,1
BSc Chemistry,1
"12th Class, Trained as per PSARA requirements in QP & NOS aligned syllabus",1
Diploma(Electrical/ Electronics/ Computer Science),1
"12th Class, 2  3 years of experience in mining",1
Preferably ITI/ Diploma in Diesel Engine Mechanic,1
"Graduate, preferably in Life Sciences. No separate entry requirement for veterans from Armed Forces who have exposure of working in similar trade or job roles",1
"12th Class pass, preferably having certificates/diploma in fine arts",1
"Diploma /B. Tech/ BE in Industrial / Production / Mechanical Engineer 
",1
8th Class or the ability to read/write and communicate effectively on the job role,1
"10th Class, preferably",1
ITI – Mechanical  ,1
"Degree in Electrical / Electronic / Avionics and allied 
  engineering branches and equivalent qualification",1
"Technical Diploma (eg. mechanical, metallurgy, etc.)",1
ITI Electronics or relevant trade,1
Basic literacy level,1
"B. Pharma/ Graduate specifically in marketing, advertising or a business related subject",1
"Preferably Ex  Army men /certificate in a course in 
motor mechanics or Dip. in Mechanical Engineering 
",1
Preferably class VIII,1
"12th Class ,Preferably/Certification in refrigeration and modified
atmosphere storage",1
ITI / Graduate (Science),1
Bachelor's Degree in Mechanical Engg./Electrical & Electronics Engg.,1
"12th Class,Pass out / ITI",1
"Applicable for roles with eligibility criteria up to 5th Standard, and for Non-Customer facing roles (6th-8th Standard).",1
Bachelor's Degree in Commerce/Accounts/Finance,1
"12th Class, 6 months of experience",1
ITI (Civil)/ Diploma (Civil),1
Diploma in Mechanical Engineering/BSc,1
"Diploma in Mechanical Engineering with certification in
CAD/CAM
",1
Masters degree in science,1
"8th standard pass, preferably",1
"12th Class, Pass with training in CAD design",1
"Preferable class X, ITI",1
"10th Standard Pass
",1
"12th standard passed, Preferably  ",1
Minimum Age - 14 Years ;  Preferable Qualification shall be 10th Pass with 1-2 years’ experience in textile mill.,1
8th Class ,1
"12th Class, Preferably in Science , but 10th Class is also considered in certain",1
5th Pass Preferaby,1
"Diploma/Class 12th pass, candidate should have completed the age prescribed for apprenticeship as per the corresponding State/UT Act",1
ITI Mechanical,1
ITI – Mechanical Technology,1
Graduate degree/diploma in automotive or mechanical engineering,1
Class XII with science,1
"12th Class ,Preferably with Science",1
"10th Class/ITI, Desirable – 18 years",1
12th Class (Science)/ ITI,1
Undergraduate degree or diploma in mechanical/ automobile engineering,1
8 th pass preferably,1
"10th Class/ITI, Prefreably- 18 years",1
I.T.I/Diploma in Mechanical trade,1
5th Class (Primary Education),1
Preferable Qualification shall be 8th Pass with 1  2 years experience in a Textile Mill.,1
Diploma in Mechanical engineering,1
"10th Class, Preferably",1
Diploma in Civil Engineering/Structural Engineering,1
Graduate degree/ diploma in Automotive or Mechanical Engineering,1
Graduate or certified Social Media Manager (NSQF Level 6),1
"B. Tech/ B.E.  (Solar/ Electrical, Electronics, Civil, Mechanical/ Energy Systems) or M.Tech (Solar/ Renewables/ Energy Studies)",1
B. Pharma preferable/ Graduate in Science (chemistry specialization preferable for Pharmaceuticals)/ B.Tech in chemistry,1
BBA/ B.Tech/B. Pharma/ B.Sc in a related discipline,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with 1  2 years’ experience in a textile processing.,1
Diploma in Mechanical engg,1
"Class 5, preferably",1
"Graduate/Equivalent, preferably",1
Diploma in Electrical Engineering,1
ITI in Electrician Trade/ 10th class with experience,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10thpass with training in computer operations,1
"Diploma - Mechanical Engineering, Degree preferred",1
"8th Class, Driving Licence",1
Preferably 5th standard,1
10th Class/ ITI. Preferably Diploma in Mining or Drilling,1
BSc. Chemistry,1
B.Tech/ B. Pharma / Graduate in any field/ B.Com/ BBA,1
"Bachelor Degree in Engineering (Electrical, Electronics, Mechatronics, Instrumentation) or M.Sc. (Electronics)",1
"5th Class (To be revised to 8th post 31st December, 2017)",1
"Diploma/Degree in Textile/Fashion/Garment, Preferably",1
Bachelor's Degree in Science/Computers/Technology and/or Degree in Law,1
B.E/ B. Tech (Preferably automobile/ mechanical),1
12th Class.Trained as per PSARA requirements in QP & NOS aligned syllabus,1
1st Yr Bachelor's Passed,1
12th with Science or Home Science,1
B.Sc or Diploma in Instrumentation/Electrical/Electronics,1
"Diploma – Mechanical/Production, Degree preferred",1
"10+2 with science stream
Or
Level 4 Radiology Technician with experience of minimum 2 years

",1
Graduate in Agriculture & Allied Sciences,1
"Diploma /B. Tech/ BE in Industrial / Production / Mechanical
Engineering 
",1
"10th Class ,Preferably/ the ability to read/write and communicate effectively on the job role",1
8th Pass Preferaby,1
B.E. (Electronics),1
"10th Class, 6 months of experience",1
Graduate degree in any discipline,1
"12th Class ,Preferably and compulsory Certification course F36in industrial safety",1
Undergraduate degree/ diploma in any discipline,1
"B.E. / B. Tech. / Any Graduate with Science background, preferred",1
Diploma in Electrical/Electronics/Instrumentation B.Sc in Electronics,1
M. Tech/B. Tech/Dip. in Polymer/Chemical Technology,1
ITI (Electrical),1
"ITI/12th Standard with Science pass (and no vertigo problem), preferably",1
"12th Class, Preferably with a background in physical sciences",1
8th Class(preferable) OR ability to read/ write and communicate effectively on the job role,1
"ITI/Diploma in Electrical/Electronic/Instrumentation, Preferably",1
"12th Class Undergraduate degree or diploma in any discipline (preferable in Automobile / Mechanical Egg.)
",1
8th Class OR ability to read/ write and communicate effectively on the job role,1
10th Class  and statutory certificate,1
"5th Standard pass, peferably",1
B. Pharma preferable/ B. Sc. / Clinical Research certification,1
Diploma / Degree in Civil Engineering (with specialization in PHE),1
10th Standard pass,1
"12th Class ,Preferably and compulsory Certification course in industrial safety",1
I.T.I in Tool and Die Maker (Dies and Moulds) trade,1
Bachelor's Degree in Electronics/ Computer Science Engg.,1
"12th Class, 1 year experience in  mining firefighting operations",1
"12th Class, preferably",1
Diploma in petrochemical/ Chemical engineering/ Class XII pass with Science group,1
B.E.,1
"10th Class ,2-3 years’ experience",1
XII/ITI,1
B.Tech/B.E (Electrical/Mechanical/Electronics/Communication/Instrumentation),1
Diploma in Mechanical /ITI (Plumbing),1
10th Class ,1
"Diploma (Metallurgical / Mechanical) Pass,  
BE (Metallurgical / Mechanical) Pass and 18 years of age",1
Diploma / ITI – Mechanical/ Welding Technology,1
"5th passed,  preferably ",1
B.E / B. Tech in any discipline or any other relevant field,1
"8th Standard pass or equivalent, preferably",1
Able to Read & Write​,1
BE/B.Tech (Electrical),1
Graduate degree/ diploma in Business Studies  or Marketing,1
Minimum Age - 14 Years; Minimally Qualified,1
Diploma/BSc.,1
"12th Class , 1  10 years of experience",1
Class 10th Pass  Class 12th Pass and 18 years of age,1
"Post Graduate in the discipline related to Natural Resource Management, especially in Rural Development/ Sociology/ Social Work/ Agriculture/ Agriculture Engineering/ Civil Engineering/ Agri-Business Management, preferably",1
Graduate in any stream with relevant experience,1
10th Class  Pass,1
"8th Class, preferably pass with ability to read and write about chemicals used",1
"Graduate with 1 year of experience in administration role
Or
HSSC NSQF Certified level 5 Patient Relation Assosciate or Service Professionals, Defence/Armed Forces Professionals
",1
10th/12th Class/ITI/Diploma,1
12th Class pass/ ITI,1
Graduate with Mathematics/Statistics/Quantitative Science as one of the subjects,1
12th Standard (Science),1
"10th Class  and Mining Mate Certificate (DGMS), at least 4  5 years of experience in mine.",1
"10th Class ,Preferably– 18 Years",1
